Name,Plant,Description,Genbank,References
BvUGT73C10,Barbarea vulgaris,triterpenoid glycosyltransferase,JQ291613,"Augustin et al., Plant Physiol., 2012,"
BvUGT73C11,Barbarea vulgaris,triterpenoid glycosyltransferase,JQ291614,"Augustin et al., Plant Physiol., 2012,"
BvUGT73C12,Barbarea vulgaris,triterpenoid glycosyltransferase,JQ291615,"Augustin et al., Plant Physiol., 2012,"
BvUGT73C13,Barbarea vulgaris,triterpenoid glycosyltransferase,JQ291616,"Augustin et al., Plant Physiol., 2012,"
GAME1,Solanum lycopersicum ,tomatidine-C-3-galactosyltransferase (UGT73L5),HQ293016,"Itkin et al., Plant Cell, 2011,"
GAME17,Solanum lycopersicum ,tomatidine galactoside glucosyltransferase,XM_004243589,"Itkin et al., Science, 2013,"
GAME18,Solanum lycopersicum ,_-tomatine glucosyltransferase,XM_004243588,"Itkin et al., Science, 2013,"
GAME2,Solanum lycopersicum ,_1-tomatine xylosyltransferase (UGT73L4),HQ293018,"Itkin et al., Science, 2013,"
GmUGT73F2,Glycine max,saponin glucosyltransferase,AB628089,"Sayama et al., Plant Cell, 2012,"
GmUGT73F4,Glycine max,saponin xylosyltransferase,AB628091,"Sayama et al., Plant Cell, 2012,"
GmUGT73P2,Glycine max,saponin galactosyltransferase,AB473730,"Shibuya et al., FEBS Lett., 2010,"
GmUGT91H4,Glycine max,saponin rhamnosyltransferase,AB473731,"Shibuya et al., FEBS Lett., 2010,"
GuUGAT,Glycyrrhiza uralensis,"Glycyrrhiza uralensis UDP-glycosyltransferase mRNA, complete cds.",KT759000,"Xu et al., New Phytol., 2016,"
MtUGT71G1,Medicago truncatula,"Medicago truncatula triterpene UDP-glucosyl transferase UGT71G1 mRNA, complete cds.",AY747627,"Achnine et al., Plant J., 2005,"
MtUGT73F3,Medicago truncatula,triterpene glucosyltransferase,FJ477891,"Naoumkina et al., Plant Cell, 2010,"
MtUGT73K1,Medicago truncatula,"Medicago truncatula triterpene UDP-glucosyl transferase UGT73K1 mRNA, complete cds.",AY747626,"Achnine et al., Plant J., 2005,"
PgUGT71A27,Panax ginseng,dammarane glucosyltransferas,KM491309,"Yan et al., Cell Res., 2014,Wei et al., Mol Plant, 2015,"
PgUGT74AE2,Panax ginseng,dammarane glucosyltransferas (UGT74A1),JX898529,"Jung et al., Plant Cell Physiol., 2014,"
PgUGT94Q2,Panax ginseng,dammarane glucosyltransferas (UGT94B1),JX898530,"Jung et al., Plant Cell Physiol., 2014,"
SaUGT73L1,Solanum aculeatissimum,steroidal alkaloid glucosyltransferase,AB182385,"Kohara et al., Plant Mol. Biol., 2005,"
SgUGT720-269-1,Siraitia grosvenorii,mogroside glucosyl transferase,,"Itkin et al., Proc. Natl. Acad. Sci. U.S.A., 2016,"
SgUGT74AC1,Siraitia grosvenorii,"Siraitia grosvenorii UDP-glucosyltransferase (UDPG1) mRNA, complete cds.",HQ259620,"Dai et al., Plant Cell Physiol., 2015,"
SgUGT94-289-1,Siraitia grosvenorii,mogroside glucosyl transferase,,"Itkin et al., Proc. Natl. Acad. Sci. U.S.A., 2016,"
SgUGT94-289-2,Siraitia grosvenorii,mogroside glucosyl transferase,,"Itkin et al., Proc. Natl. Acad. Sci. U.S.A., 2016,"
SgUGT94-289-3,Siraitia grosvenorii,mogroside glucosyl transferase,,"Itkin et al., Proc. Natl. Acad. Sci. U.S.A., 2016,"
StSGT1,Solanum tuberosum,"Solanum tuberosum UDP-galactose:solanidine galactosyltransferase (Sgt1) mRNA, Sgt1.1 allele, complete cds.",U82367,"Moehs et al., Plant J., 1997,"
StSGT2,Solanum tuberosum,"Solanum tuberosum cultivar Lemhi UDP-glucose:solanidine glucosyltransferase (Sgt2) mRNA, Sgt2.1 allele, complete cds.",DQ218276,"McCue et al., Phytochemistry, 2006,"
StSGT3,Solanum tuberosum,"Solanum tuberosum rhamnose:beta-solanine/beta-chaconine rhamnosyltransferase mRNA, complete cds.",DQ266437,"McCue et al., Phytochemistry, 2007,"
SvUGT74M1,Saponaria Vaccaria,"Vaccaria hispanica triterpene carboxylic acid glucosyltransferase (UGT74M1) gene, UGT74M1-1 allele, complete cds.",DQ915168,"Meesapyodsuk et al., Plant Physiol., 2007,"
UGTPg100,Panax ginseng,dammarane glucosyltransferas,KP795113,"Wei et al., Mol Plant, 2015,"
UGTPg101,Panax ginseng,dammarane glucosyltransferas,KP795114,"Wei et al., Mol Plant, 2015,"
